Timestep	Iteration	Value_Loss	AverageReturn	MaxAvgReturn	Exploration	LearningRate
2950000	1659	0.01791133	20.36	20.36	0.01	6.060606060606061e-05
2960000	1665	0.011689908	20.37	20.37	0.01	6.03030303030303e-05
2970000	1671	0.01903401	20.4	20.41	0.01	6e-05
2980000	1677	0.06671181	20.39	20.42	0.01	5.96969696969697e-05
2990000	1683	0.11452476	20.4	20.42	0.01	5.93939393939394e-05
3000000	1688	0.030500624	20.42	20.43	0.01	5.909090909090909e-05
3010000	1695	0.005789386	20.5	20.5	0.01	5.878787878787879e-05
3020000	1701	0.0139581645	20.55	20.55	0.01	5.848484848484849e-05
3030000	1706	0.026953816	20.55	20.55	0.01	5.8181818181818185e-05
3040000	1712	0.050512142	20.53	20.55	0.01	5.7878787878787884e-05
3050000	1718	0.012490716	20.57	20.57	0.01	5.7575757575757575e-05
3060000	1724	0.017506208	20.55	20.57	0.01	5.727272727272728e-05
3070000	1730	0.018033545	20.57	20.58	0.01	5.696969696969697e-05
3080000	1735	0.036529623	20.53	20.58	0.01	5.666666666666667e-05
3090000	1741	0.019248705	20.52	20.58	0.01	5.636363636363637e-05
3100000	1747	0.031100407	20.43	20.58	0.01	5.606060606060606e-05
3110000	1753	0.028016992	20.45	20.58	0.01	5.575757575757576e-05
3120000	1759	0.05796296	20.44	20.58	0.01	5.545454545454546e-05
3130000	1765	0.008037646	20.48	20.58	0.01	5.5151515151515156e-05
3140000	1771	0.026116457	20.49	20.58	0.01	5.484848484848485e-05
3150000	1776	0.008039311	20.49	20.58	0.01	5.4545454545454546e-05
3160000	1782	0.011423734	20.5	20.58	0.01	5.4242424242424245e-05
3170000	1788	0.010048584	20.48	20.58	0.01	5.3939393939393936e-05
3180000	1794	0.029076833	20.45	20.58	0.01	5.363636363636364e-05
3190000	1800	0.008699301	20.45	20.58	0.01	5.333333333333333e-05
3200000	1806	0.009965268	20.48	20.58	0.01	5.303030303030303e-05
3210000	1812	0.012495024	20.5	20.58	0.01	5.272727272727273e-05
3220000	1817	0.029018024	20.5	20.58	0.01	5.242424242424243e-05
3230000	1823	0.011818332	20.45	20.58	0.01	5.212121212121213e-05
3240000	1829	0.0058922246	20.49	20.58	0.01	5.181818181818182e-05
3250000	1835	0.008938441	20.49	20.58	0.01	5.151515151515152e-05
3260000	1841	0.008142829	20.51	20.58	0.01	5.1212121212121215e-05
3270000	1847	0.007460622	20.58	20.61	0.01	5.0909090909090914e-05
3280000	1853	0.11040418	20.57	20.61	0.01	5.0606060606060606e-05
3290000	1859	0.016158389	20.58	20.61	0.01	5.030303030303031e-05
3300000	1864	0.006837597	20.55	20.61	0.01	5e-05
